price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_built
204000,3,1,1000,12070,1,4,7,1000,1968
1325000,5,2,3200,20158,1,3,8,1600,1965
1040000,5,3,4770,50094,1,4,11,3070,1973
325000,3,2,1260,5612,1,4,7,1260,1972
571000,4,2,2750,7807,2,5,7,2250,1916
360000,4,3,2380,5000,2,3,8,2380,2005
349000,3,2,1790,50529,1,5,7,1090,1965
832500,4,4,3430,35102,2,4,10,2390,1986
380000,4,2,1760,7300,1,3,7,880,1956
480000,3,1,1040,5060,1,3,7,1040,1941
410000,3,1,1410,5060,1,4,7,910,1956
720000,4,3,3450,39683,2,3,10,3450,2002
390000,3,3,2350,5100,2,3,8,2350,2003
360000,4,3,1900,5889,2,3,7,1900,1992
355000,2,1,2020,6720,1,3,7,1010,1948
356000,3,2,1680,8712,1,3,8,1680,1964
315000,3,1,960,6634,1,3,6,960,1952
940000,3,2,2140,3600,2,3,9,1900,1925
305000,5,2,2660,8400,2,5,7,2660,1961
461000,3,3,2770,6278,2,3,9,1980,2006
215000,2,2,1610,2040,2,4,7,1610,1979
335000,2,2,1030,1066,2,3,7,765,2006
243500,4,3,1980,7403,2,3,7,1980,1988
1099880,5,3,3520,6353,2,4,10,3520,2001
153000,3,1,1200,10500,1,3,7,1200,1962
430000,3,2,1580,5000,1,3,8,1290,1939
700000,3,2,1580,5000,1,3,8,1290,1939
905000,4,3,3300,10250,1,3,7,2390,1946
247500,3,2,1960,15681,1,3,7,1960,1967
199000,4,2,1160,6400,1,4,7,1160,1975
314000,3,2,1810,41800,1,5,7,1210,1980
437500,3,3,2320,36847,2,3,9,2320,1992
850830,3,3,2070,13241,2,5,9,1270,1910
555000,3,2,1980,3478,2,4,7,1440,1929
699950,3,2,2190,107593,2,4,8,2190,1983
1088000,3,3,2920,8113,2,3,8,2920,1950
290000,3,1,1210,33919,1,3,7,1210,1954
375000,3,3,2340,10005,1,4,8,1460,1978
460000,3,1,1670,4005,2,4,7,1170,1939
188500,2,2,1240,2493,1,4,8,1240,1985
680000,4,3,3140,28037,2,4,10,3140,1991
470000,5,2,2030,12342,2,4,7,2030,1942
597750,4,3,2310,9624,2,3,8,2310,1984
570000,3,2,1260,3328,1,5,6,700,1905
272500,3,2,1540,12600,1,4,7,1160,1980
329950,3,2,2080,5969,1,3,7,1080,1971
480000,4,3,3230,16171,2,3,9,2520,2001
740500,3,4,4380,6350,2,3,8,2780,1900
518500,3,4,1590,1102,3,3,8,1590,2010
205425,2,1,880,6780,1,4,6,880,1945
171800,4,2,1570,9600,1,3,6,1570,1950
535000,4,1,1610,2982,2,4,7,1610,1925
660000,3,3,2400,6474,1,3,8,1560,1964
391500,3,2,1450,9132,1,3,7,1450,1987
395000,2,1,770,6000,1,3,6,770,1953
445000,4,2,2100,4400,2,5,7,1720,1924
770000,3,2,2910,10204,2,3,9,2910,1990
1450000,4,3,2750,17789,2,3,8,1980,1914
445000,3,2,2100,8201,1,3,8,1620,1967
260000,4,2,2160,8811,1,3,8,1360,1978
822500,5,4,2320,4960,2,5,7,1720,1926
430000,4,3,2070,4310,2,3,7,2070,2004
212000,3,2,1060,7875,1,4,7,1060,1986
660500,4,2,2010,9603,1,3,8,1440,1986
784000,3,4,3950,111078,2,3,9,2460,1989
453246,3,3,2010,2287,2,3,8,1390,2014
675000,4,4,2140,2278,3,3,9,2140,2005
199000,3,2,1320,17390,1,4,7,1320,1956
220000,4,2,2020,7840,1,3,7,1010,1968
452000,4,2,2590,10002,1,4,8,1340,1968
382500,2,1,1190,4440,1,3,6,1190,1981
519950,3,2,1170,1249,3,3,8,1170,2014
665000,2,1,1110,3200,1,3,7,1110,1925
527700,5,3,2820,9375,1,4,8,1550,1968
205000,3,1,1610,8579,1,4,7,1010,1962
420000,3,1,1060,8097,1,4,7,940,1923
500000,4,2,2030,8517,1,4,8,1380,1961
921500,4,3,3670,315374,2,4,9,3670,1994
890000,4,1,2550,4000,2,3,8,2370,1905
430000,2,3,2420,60984,2,3,7,2420,2007
258000,5,2,2260,12500,1,4,8,1130,1960
511000,3,1,1430,3455,1,3,7,980,1947
532170,3,2,1360,3090,2,3,8,1360,1990
560000,3,1,1110,5000,2,3,7,1110,1947
282950,3,1,1250,8200,1,4,7,1250,1954
2250000,4,3,5180,19850,2,3,12,3540,2006
350000,1,1,700,5100,1,3,7,700,1942
215000,3,1,1180,7669,1,4,7,1180,1967
650000,5,4,3960,25245,2,3,9,2500,1996
320000,4,3,2640,7500,1,3,8,1620,1967
247000,3,2,1270,7198,2,3,7,1270,1916
320000,4,2,1760,11180,1,4,8,1760,1968
255000,5,2,2060,8632,1,3,7,1030,1962
438000,3,2,1780,9660,1,3,7,1780,1962
900000,3,3,3400,16603,2,3,10,3400,2000
441000,3,3,1910,7280,1,3,7,1160,1979
420000,3,2,2020,38332,1,4,7,1010,1975
370000,3,2,1580,7000,1,3,7,1180,1976
269950,2,2,1340,7250,1,5,5,700,1949
807100,4,3,2680,4499,2,3,9,2680,1999
653000,3,3,2680,9750,1,4,8,1610,1979
371500,3,2,1370,8336,1,5,7,1370,1964
284000,3,2,1560,21000,1,3,7,1560,1954
272000,3,2,2160,7140,1,4,7,1670,1978
313000,3,2,1340,7912,2,3,7,1340,1955
917500,4,3,3880,35003,2,3,10,2570,1984
673000,4,2,2590,8190,2,4,8,2590,1980
425000,3,3,1120,1100,2,3,8,820,2008
399950,5,3,1970,5400,1,3,7,1320,1986
385000,3,1,1220,4800,1,3,6,1220,1901
269950,3,2,1950,7560,1,4,7,1320,1975
330000,2,1,1350,8220,1,3,7,1060,1949
260000,3,3,1670,5797,2,3,7,1670,1988
470000,4,3,2380,5125,2,4,7,1680,1925
589000,4,3,2440,9600,2,5,7,2440,1961
163500,2,2,1050,3419,2,3,7,1050,1996
835000,4,3,3130,13412,2,3,9,2140,1993
1095000,5,3,4090,12850,1,4,10,2090,1986
269000,4,2,1490,10000,1,4,8,1100,1969
560000,3,3,1900,8744,2,3,8,1900,1987
615000,4,1,1330,2400,2,4,6,1330,1901
585188,3,2,2230,10026,1,3,8,1430,1975
305000,3,2,1650,9480,1,3,7,1220,1977
166950,3,1,1190,8820,1,3,6,1190,1959
799000,3,3,2140,9897,1,4,8,2140,1959
400000,3,3,2180,7508,1,4,7,1420,1962
230000,3,1,1060,10228,1,3,7,1060,1948
256883,3,3,1690,5025,2,3,8,1690,2003
423000,4,2,1970,6480,2,5,7,1130,1920
465000,3,3,2150,4084,2,3,8,2150,2007
440000,3,3,1910,66211,2,3,7,1910,1997
385000,3,2,1350,155073,1,4,7,1350,1969
210000,3,1,860,11725,1,4,6,860,1943
297000,3,3,1940,14952,2,3,8,1940,1994
470000,3,1,1010,5000,1,3,7,1010,1952
226500,3,2,1300,7370,1,4,7,900,1976
274250,3,1,910,8450,1,4,6,910,1962
840000,4,2,2480,11010,1,4,9,1630,1966
677900,3,3,2440,4587,2,3,8,2440,2010
425000,3,1,1010,5864,1,3,7,1010,1915
180250,2,1,900,9600,1,3,6,900,1941
464000,6,3,2300,3404,2,3,7,1600,1920
320000,4,2,1550,7579,2,3,8,1550,1993
625504,3,2,1270,1566,2,3,8,1060,2014
592500,4,3,2240,12032,1,3,9,2240,1983
465000,3,3,2714,17936,2,3,9,2714,2005
477000,4,3,1720,6270,2,3,8,1720,1978
280000,2,1,850,16400,1,3,6,850,1923
1505000,5,3,3300,33474,1,3,9,1870,1957
445838,3,3,2250,5692,2,3,8,2250,2000
1072000,2,2,3900,14864,1,3,8,1950,1947
467000,2,2,1320,10800,1,4,8,1320,1947
686000,4,3,2760,6440,2,3,10,2760,1999
279950,3,2,1750,9750,1,3,7,1350,1961
527000,4,2,2330,19436,2,3,8,2330,1987
325000,3,2,2220,16020,1,4,8,1780,1966
328000,3,2,2020,8379,2,3,7,2020,1994
390000,3,2,1250,7500,1,5,7,1250,1942
479950,2,2,1510,6516,1,3,8,1510,2005
264950,4,2,1720,9753,1,4,7,1120,1978
235000,3,1,1430,15246,1,4,7,980,1961
516500,3,3,1480,4729,2,3,7,1480,2004
655000,2,2,1450,15798,2,3,7,1230,1915
500000,4,3,2280,15347,1,5,7,2280,1960
315000,6,3,2940,7350,1,3,8,1780,1978
213000,2,1,1000,10200,1,3,6,1000,1961
475000,3,2,2480,5280,2,5,7,1620,1947
1025000,5,4,3760,28040,2,3,10,3760,1983
416000,3,2,2220,94300,1,5,7,1640,1976
410000,4,1,1970,4740,2,3,7,1670,1904
800000,3,4,3830,221284,2,3,10,3530,1993
472000,6,3,4410,14034,1,4,9,2350,1965
225000,3,2,1430,8505,1,4,7,1430,1968
210000,2,1,830,6000,1,3,6,830,1940
455000,2,1,1430,5000,2,2,7,1430,1925
225000,3,1,1300,8316,1,4,6,1300,1954
480000,2,1,1030,3060,1,4,7,790,1918
363000,3,3,2740,11872,2,3,9,2740,1990
2400000,4,3,3650,8354,1,3,9,1830,2000
181000,2,2,720,5120,1,3,6,720,1954
250000,4,2,2010,7312,1,4,7,2010,1976
481000,3,2,1560,3000,1,4,6,770,1918
260000,3,2,1810,7209,1,4,7,1240,1978
455000,4,3,3360,7685,2,3,9,3360,2001
415000,3,2,1510,36224,2,3,8,1510,1991
349500,3,1,1400,3538,1,3,7,800,1953
245000,3,3,1730,7442,2,3,7,1730,1987
592500,2,2,1420,9191,2,5,7,1420,1928
385000,4,2,2360,7620,1,4,7,1180,1955
315000,3,2,1580,11455,1,4,7,1200,1974
255000,3,1,1230,10170,1,3,7,1230,1979
693000,4,3,2460,4425,2,3,8,2460,2006
780000,3,1,1660,4400,2,3,8,1460,1911
237000,3,2,1270,8470,1,4,7,1270,1960
525000,3,2,2100,40510,2,3,10,1320,1979
425000,2,1,770,5040,1,3,5,770,1930
369900,1,1,760,10079,1,5,5,760,1936
290000,4,3,1700,7280,2,4,7,1700,1988
285000,3,1,1120,10701,1,3,7,1120,1954
415000,2,1,1070,4500,1,3,7,1070,1937
272500,3,3,2070,9900,1,3,8,1420,1979
2900000,4,3,5050,20100,2,3,11,4750,1982
1365000,4,5,5310,57346,2,4,11,5310,1989
436000,2,1,1040,7538,1,4,7,1040,1939
210000,3,1,1700,11390,1,4,7,1700,1967
236000,3,1,1300,5898,1,3,7,1300,1961
331000,3,2,1080,1306,1,3,7,580,1954
365000,3,3,2653,4510,2,3,8,2653,2006
450000,3,2,2290,16258,1,5,8,2290,1960
770000,4,3,3820,26300,2,3,9,2850,2014
455000,4,3,2210,49375,1,3,8,2210,1997
405000,3,2,2390,6000,1,3,6,1240,1908
304900,4,2,2600,11325,1,4,7,1610,1969
170000,2,1,860,5265,1,3,6,860,1931
2050000,5,3,3830,8480,2,5,9,2630,1905
780000,4,3,3500,7048,2,3,9,3500,2005
330000,3,3,2420,13959,1,4,8,1740,1988
370000,4,3,2720,8666,2,3,9,2720,1992
467000,5,2,2500,13500,1,3,7,1850,1979
405000,3,2,1670,6720,1,3,7,1140,1980
675000,5,2,2900,10300,1,3,8,1450,1985
500000,2,1,1640,14100,1,4,7,1140,1954
389999,4,3,1890,15770,2,4,7,1890,1968
630000,4,2,2950,9025,1,4,8,1780,1975
360000,4,3,2160,9528,2,3,9,2160,1992
580000,4,3,3280,11060,2,3,8,2270,1986
550000,3,2,1970,4166,2,5,8,1270,1929
879000,4,3,3360,22111,2,3,10,3360,1994
265000,3,2,1320,8959,1,3,7,1320,1993
446500,3,3,2650,7286,2,3,8,2650,1990
404000,3,2,2030,8880,1,3,7,1330,1963
267500,3,2,1590,11914,1,3,7,1090,1957
3075000,4,5,4550,18641,1,3,10,2600,2002
335000,3,3,2440,7632,2,3,8,2440,1998
576000,3,3,1940,9000,1,4,7,970,1948
208633,3,3,2040,3810,2,3,8,2040,2006
315000,3,2,2200,8750,1,4,7,1120,1964
725000,3,2,1920,3300,1,4,8,960,1913
550000,4,3,1800,7750,1,4,8,1400,1965
610750,4,2,2180,7297,2,3,8,2180,1984
550700,2,1,1010,5000,2,4,6,1010,1908
665000,4,3,3320,10574,2,5,8,2220,1960
834000,4,3,2370,4000,2,5,8,1980,1928
201000,5,2,1660,78408,2,3,6,1660,1915
2384000,5,3,3650,9050,2,5,10,3370,1921
1384000,4,3,4290,12103,1,3,11,2690,1997
1400000,4,3,4290,12103,1,3,11,2690,1997
305000,4,2,1950,7700,1,3,8,1350,1979
487000,3,2,2590,14052,1,5,8,1720,1948
390000,3,3,1930,64904,1,4,8,1930,1988
548000,2,1,1470,3864,1,4,7,1170,1916
268750,4,1,800,8775,1,3,6,800,1943
819900,5,3,3150,7119,2,3,9,3150,2013
520000,3,2,2030,16200,2,3,8,2030,1984
230000,3,2,1450,11204,1,3,7,1450,2003
240000,3,2,1510,10248,1,3,7,1510,1969
232000,2,1,1240,12092,1,3,6,960,1922
240500,2,1,1240,12092,1,3,6,960,1922
274975,3,3,3030,45004,2,3,9,3030,1987
740000,4,2,2050,4400,2,4,9,2050,1922
186375,3,1,1000,7636,1,2,7,1000,1952
790000,3,2,2370,10289,1,4,9,1590,1977
880000,4,4,2800,6750,2,3,9,1890,1951
279000,6,2,2240,11180,2,4,7,2240,1955
295000,3,2,1810,10530,1,3,8,1810,1991
640000,2,1,1070,5000,1,3,7,1070,1924
940000,4,2,2490,9525,2,5,9,2490,1968
260000,4,3,1960,5238,2,3,7,1960,2003
559900,3,3,2930,5569,1,3,9,1860,2004
791500,4,2,1510,3500,2,5,7,1510,1911
265000,3,2,1420,8250,1,3,7,1420,1954
245000,3,2,1740,11547,1,3,7,1740,1954
485000,4,2,2560,43995,2,4,7,2560,1962
684000,4,4,3040,8414,2,3,9,2420,2010
425000,3,2,2500,6840,1,3,8,1300,1957
309600,4,2,1275,20000,1,4,6,1275,1991
552250,4,3,2580,5823,2,3,8,2580,2002
165000,4,1,1000,7134,1,3,6,1000,1943
239900,4,1,1000,7134,1,3,6,1000,1943
320000,2,1,1070,32633,1,4,6,1070,1930
206600,3,2,1390,13464,1,4,7,1390,1987
387000,4,2,2500,7690,1,3,7,1250,1973
299000,1,1,560,12120,1,3,4,560,1967
855000,4,3,2270,10460,2,3,9,2270,1965
315000,3,1,1900,14400,1,4,7,1300,1954
437500,2,1,990,3120,1,5,7,790,1907
252000,4,2,1550,19800,1,4,7,1050,1969
375000,4,2,2200,7475,1,5,7,1100,1955
300000,4,3,1910,4862,2,3,7,1910,2005
420000,4,1,1750,9600,2,4,7,1750,1954
900000,3,1,1330,77972,1,3,7,1330,1928
679900,3,3,2440,5750,2,3,9,1980,2000
463000,3,3,1640,29970,2,3,7,1640,1992
380000,5,3,2760,11340,2,4,9,2760,1978
329500,4,3,1820,7912,2,3,7,1820,1994
604950,3,3,2110,5608,1,3,8,1340,2013
795000,5,3,3040,9570,1,4,8,1640,1966
465000,3,2,1840,40438,2,3,7,1840,1994
673000,4,3,2990,10400,2,3,9,2990,2002
810000,4,3,3520,15420,2,3,10,3520,1991
785000,4,3,2440,69415,1,4,8,1910,1989
338000,4,3,2090,7500,1,3,7,1370,1986
280000,3,2,1430,7222,2,3,7,1430,1993
315000,4,2,2180,10754,1,5,7,1100,1954
530000,4,2,2180,10754,1,5,7,1100,1954
380000,5,3,3450,9914,2,3,9,3450,2004
297000,3,2,1450,7562,2,3,7,1450,1994
730000,4,3,3230,7331,2,3,10,3230,2004
450000,3,2,1640,13500,1,3,7,1110,1940
275000,3,3,1590,7750,1,3,7,1060,1997
595000,4,2,2020,2849,2,3,7,2020,1960
435000,3,2,1300,3348,2,3,7,1300,1904
270000,2,2,1380,209959,1,1,6,1380,1954
950000,3,3,4040,14338,2,3,10,3030,1986
389000,4,2,2130,5337,2,3,7,2130,2001
560000,4,2,2550,7800,1,3,8,1580,1968
1350000,5,4,4800,14984,2,3,11,3480,1998
799000,4,2,2510,11585,2,4,8,2510,1969
365500,3,2,1410,9600,1,4,7,1410,1983
252350,3,2,1650,7352,1,3,7,1160,1979
403950,4,3,2120,13780,2,3,8,2120,1993
385000,4,2,2040,10726,1,3,7,1380,1954
345000,4,1,1550,7620,2,3,7,1550,1957
490000,3,3,1980,3128,2,4,9,1980,1979
330000,3,3,1600,26977,2,3,8,1600,2005
927000,4,3,3300,12090,2,3,8,3300,1953
1118000,4,3,3840,16619,2,4,10,3840,1983
330000,2,1,1220,10000,1,5,7,1220,1950
530000,5,2,2720,8800,1,4,7,1500,1958
365000,4,2,1940,25600,1,1,8,1940,1962
378750,3,3,2160,3000,2,3,7,1260,1909
269900,4,2,1530,8750,2,4,7,1530,1968
557000,3,4,1710,2096,2,3,8,1290,2008
360000,4,2,3730,16980,1,4,7,2150,1974
352000,2,1,940,5000,1,4,7,940,1937
437000,3,3,1750,22357,2,3,8,1750,1994
322500,4,3,1820,6753,2,3,7,1820,1994
650000,3,3,1510,2000,2,3,9,1330,2001
450000,3,2,1290,1213,3,3,8,1290,2001
278500,3,2,1570,5250,1,3,7,1570,1998
364950,4,3,1930,6957,2,3,8,1930,1995
840000,4,4,2840,40139,1,4,10,2840,1986
268000,3,3,1550,8134,2,3,7,1550,1991
517534,2,1,833,143947,1,3,5,833,2006
632925,3,3,2990,32239,2,4,8,2990,1978
577500,3,3,2000,7251,2,3,9,2000,1995
339000,4,2,2390,7480,2,3,7,2390,1920
570000,3,2,2910,37461,1,4,7,1530,1967
563500,4,2,2085,174240,1,3,7,1610,1964
423000,4,2,2200,9351,1,5,7,1290,1962
355000,3,2,1860,5028,2,3,8,1860,2012
1550000,5,4,6070,171626,2,3,12,6070,1999
482000,2,1,950,3960,1,3,7,950,1941
625000,3,2,1600,9135,1,5,7,1600,1955
538000,3,3,2250,11632,2,3,8,2250,1988
380000,3,3,2280,10255,2,4,8,2280,1985
375000,2,1,940,5120,1,3,7,940,1909
245000,3,3,1530,8500,1,5,7,1030,1996
310000,5,2,2190,27260,1,4,7,2190,1947
1300000,3,2,2350,15021,1,4,8,1770,1976
397000,4,2,1440,7680,1,3,7,1200,1971
365000,3,3,2200,4052,2,3,8,2200,2005
328500,4,3,2290,8250,2,3,9,2290,1990
988000,4,3,4040,19700,2,3,11,4040,1987
1000000,4,3,2610,3277,2,5,8,1920,1922
237000,3,3,1490,2138,2,3,7,1490,2005
525000,4,3,2450,5280,2,3,8,2450,2003
749000,4,3,1710,9627,1,3,9,1440,1976
722500,5,3,4870,11800,2,3,10,3470,1983
843000,3,3,3130,8750,2,3,10,3130,1991
438000,2,2,1270,1372,3,3,8,1270,2000
578000,3,2,2120,10875,1,3,8,1540,1977
227950,3,2,1670,8230,1,5,7,1670,1954
196000,3,2,2070,11576,2,3,7,2070,1974
641000,2,1,1420,5332,1,3,8,1070,1953
350000,3,2,1250,219978,1,4,6,1250,1980
205000,3,1,940,7980,1,4,7,940,1960
400000,3,2,1920,9102,1,3,7,1920,1968
1030000,3,3,3545,9816,1,3,10,2610,2005
505000,3,2,1260,5460,1,3,7,1260,1972
475000,5,3,2340,7200,1,3,7,1300,1975
520000,3,2,2590,9263,1,5,8,1440,1977
1450000,3,5,3970,24920,2,3,10,3260,1977
333500,3,2,1220,9732,1,3,7,1220,1965
232000,3,1,1400,10403,1,4,6,1400,1976
691100,3,3,2360,16117,1,4,8,1710,1983
811000,3,2,1870,9897,1,4,8,1870,1960
551000,3,3,2830,5802,2,3,9,2830,2001
496500,3,3,2260,3640,2,3,8,2260,1994
705000,3,3,1970,20978,2,4,9,1770,1980
578000,4,3,3140,9225,1,5,9,1770,1966
255000,3,2,1240,8659,1,5,7,1240,1986
1050000,4,4,3450,7832,2,3,10,3450,2007
348000,3,2,2570,8491,2,4,8,2570,1989
230000,3,2,1510,3413,2,3,7,1510,1985
359500,4,2,2390,11250,2,3,9,2390,1988
330000,3,1,980,7000,1,3,6,980,1953
80000,1,1,430,5050,1,2,4,430,1912
465000,3,2,1480,6360,1,3,7,1480,1954
325000,4,3,1850,7324,2,3,8,1850,1997
340500,3,2,2270,28025,1,4,7,1920,1947
342500,3,3,1810,5192,2,3,8,1810,1993
290900,2,2,1610,17600,2,3,6,1610,1930
868700,3,4,3840,6161,2,3,10,3840,2000
1199000,4,3,4110,8400,2,3,9,3130,1928
1150000,4,3,4190,10259,2,3,11,3150,2000
859900,4,3,3390,6298,2,3,9,3390,2011
520000,4,2,1890,3006,2,3,7,1890,2003
460000,3,3,1610,2527,2,3,9,1080,2005
438924,3,2,1050,4590,1,3,7,850,1949
315000,2,1,630,6550,1,3,5,630,1918
590000,4,3,2910,10650,1,3,8,1780,1975
378500,4,2,1700,8640,1,3,7,850,1955
328500,3,3,1950,8130,2,4,9,1950,1990
849950,3,3,2990,9773,2,4,8,2990,1973
525000,3,2,1350,6000,1,3,7,900,1950
1385000,4,3,4860,181319,3,3,9,4860,1993
295000,4,3,2160,7725,1,4,8,1460,1978
1067000,6,4,4860,11793,2,3,11,3860,1998
207950,2,2,890,5000,1,3,6,890,1917
699900,4,3,2810,7302,2,3,9,2810,2002
1280000,5,3,3400,9500,2,4,8,3400,1977
452000,4,2,1580,7350,1,4,7,960,1963
370000,3,2,1680,5036,1,4,7,1680,1987
232000,3,2,1300,11230,1,5,7,1300,1968
669950,5,3,2820,14062,2,4,7,2380,1960
397500,3,2,1510,6710,1,3,7,1070,1972
490000,2,3,1230,1391,2,3,8,870,2004
725000,4,2,2110,4140,2,3,9,1710,1925
299000,3,3,3080,19635,1,4,7,1610,1958
625000,2,2,1490,5750,2,4,7,1190,1900
437500,3,3,2120,4500,2,3,7,2120,2000
650000,4,3,3180,5438,2,3,9,3180,2003
475000,2,1,1490,3825,1,3,7,860,1929
342000,3,2,1930,11947,1,4,8,1930,1966
1197350,4,3,2770,7800,2,3,10,2770,1999
280000,3,2,1670,11610,1,4,7,1670,1963
240000,2,2,1330,7200,1,3,7,1330,1993
529000,3,1,1210,3328,2,4,7,1210,1924
442000,3,1,1190,5100,1,4,7,1030,1941
615000,2,1,1540,6872,1,4,7,820,1946
1485000,4,4,4030,10800,2,3,10,4030,2006
585000,4,2,2430,7559,1,4,8,1580,1981
480000,4,3,2600,7787,2,3,8,2600,2005
1095000,5,4,4410,57063,2,4,9,4410,1990
290000,4,1,1330,8184,2,3,7,1330,1949
615000,3,2,1900,5000,1,5,7,950,1951
300000,2,1,1100,7680,1,4,7,1100,1950
308000,3,1,1980,39150,2,3,6,1580,1932
750000,3,3,2400,7745,2,3,9,2400,2001
2250000,4,2,4760,8036,3,5,9,3390,1916
890000,4,3,3180,194278,2,3,10,3180,2005
288000,3,1,1190,7560,1,5,6,1190,1958
190000,2,1,630,6000,1,3,6,630,1943
515000,5,3,2530,5105,1,3,8,1520,2005
235000,4,2,1690,11054,1,4,5,1690,1930
275000,2,1,940,5000,1,3,6,940,1951
727500,2,2,1240,9119,1,4,7,1240,1952
650000,4,3,3040,6587,2,3,7,3040,2003
1600000,6,5,6050,230652,2,3,11,6050,2001
365000,4,1,1590,7085,2,3,6,1590,1944
662000,3,2,2500,36947,1,3,9,2500,1984
270500,3,3,1780,7848,1,3,7,1320,1978
200000,2,2,1360,1898,2,3,7,1360,1978
970000,4,3,4740,76230,2,3,10,4740,1987
160000,3,2,1010,9600,1,4,7,1010,1962
204000,3,1,1040,7405,1,4,6,1040,1971
358000,3,2,1610,6655,2,4,7,1610,1985
452000,4,2,1570,8268,1,3,7,1570,1979
595000,2,2,1510,4000,1,4,7,1010,1900
249000,3,2,1360,6082,1,3,7,1360,1994
346900,4,3,1970,5106,2,3,8,1970,1999
2125000,3,3,5403,24069,2,4,12,5403,1976
280000,4,3,1560,4350,2,3,7,1560,2003
318888,4,2,2320,12000,1,4,8,2270,1973
530000,3,2,2120,40518,1,3,8,2120,1967
375000,3,2,2120,18500,2,4,8,2120,1983
910000,4,3,3350,29242,2,3,11,3350,1988
782000,4,3,2380,9614,2,4,10,2380,1991
259950,2,2,1070,649,2,3,9,720,2008
315000,4,3,2300,18360,1,4,7,1560,1979
215000,2,1,1320,8865,1,4,6,1320,1943
705000,3,2,2180,10221,1,4,7,1140,1946
1450000,3,3,4380,6320,2,5,10,3580,1952
451000,3,2,1790,9813,2,3,7,1790,1949
261000,2,1,750,8125,1,4,6,750,1943
396000,3,2,1300,8280,1,5,7,1300,1956
725000,4,3,2990,29170,2,3,9,2990,1999
1950000,7,4,4640,15235,2,3,11,2860,1965
238000,4,1,1400,7242,2,3,7,1400,1959
